Date (UTC),File / URL,Detection ratio
3/10/2017 12:57,http://boutique.schneider-paysage.ch/modules/mod_stats/tmpl/Portal_Seguro/identificacao.1jsf.p... ,0 / 64
3/10/2017 12:41,http://www.artantik.net/language/hu-HU/seguro.png/ ,Mar-64
3/10/2017 12:38,Planilha_Março_Pln-3029487239.js,Jul-56
,070fb8cd2f9f835e4231d359f3b718c3fae07275392fbd58f5a7eddb751c0089 ,
3/10/2017 12:32,http://www.atendimento-consulte-web.com.br/vencidos ,0 / 64
3/10/2017 12:24,http://tfpa.or.th/collation/~/?cliente=rafaelnunes60@hotmail.com&oid=51523 ,0 / 64
3/9/2017 15:09,Oficio.zip,Nov-56
,70bb362c118cce75b9cd6a46c9ce5002f84b4a9a8f39f984fe8cdcc49203cbcc ,
3/9/2017 14:12,http://52.43.247.85/ ,0 / 64
3/9/2017 14:01,http://caefe.com.br/file/01redi_santa01/NOVO.ATENDIMENTO.CLIENTE1/ATENDIMENTO_CADASTRO_CLIENTE... ,0 / 64
3/9/2017 13:34,http://6e7602adfafa93a45b371024a1f9c9ebbancodobrasil.cuwtnehxruhri6v.win/BB_ABC5/safeaccess/si... ,0 / 64
3/9/2017 1:32,"http://www.sikhorhsp.com/media/media/js/Portal_Seguro/acesso/1_acessar.php?02,32-14,09,03-17,am ",Feb-64
3/9/2017 1:22,https://beautyfaircosmeticos.com.br/includes/src/beau/ ,0 / 64
3/8/2017 14:06,Pendencia004682.PDF.js,Oct-56
,e515770da9e2ee8a1bd2cb4bb7c732357e33fcffd2911232b912828e323fa68b ,
3/8/2017 13:24,http://www.digitalmarket.asia/webdata/adminpanel/Serasa-SPC/ ,0 / 64
3/8/2017 13:23,http://www.forcoop.net/backup/controller/Serasa/Download-Extrato-de-Pendencia/ ,0 / 64
3/8/2017 13:18,http://pps.ltjss.net/plugins/usuarios/id.html??cmd=_home&dispatch=5885d80a13c0db1f8e&ee=150f42... ,Apr-65
3/8/2017 13:12,"http://sacatendimentochave.com/acessosegurocliente/thmpv.php?17,07,11,27,3,7,07,8,000000,31,We... ",0 / 64
3/7/2017 19:55,http://mystorageauction.com/wp-content/upgrade/bb/ ,Sep-64
3/7/2017 19:55,http://www.gardensofdistinction.com.au/components/com_users/models/021.jpg/ ,Aug-64
3/7/2017 14:29,http://185.59.220.13/ ,0 / 65
3/7/2017 14:09,http://www.immensum.com.br/ ,May-65
3/7/2017 13:04,Planilha_17_Março_002.zip,Nov-57
,41ec250a145fb68d436e246359090088f97c2aab65670e89e5c509b7a8073cff ,
3/7/2017 13:03,NFAamericanas.com-ASS-2017.zip,Dec-59
,3b9d2a3904b8bfadd59bb19a47df9bb86830bf4242f850e10d23125c9060913b ,
3/6/2017 17:51,Intimacao_Online.zip,13 / 58
,14a6bfdfa21ecdfdd5655a923e3abfd0189fe5f84e5897a2b99b75ba6e5511e6 ,
3/6/2017 17:43,https://www.sugarsync.com/pf/D3237723_763_8554142942?directDownload=true ,Jun-64
3/6/2017 17:40,http://mascavosdominio.com.br/utilfolha.php ,Mar-64
3/6/2017 17:38,http://libgonchar.org/plugins/system/jfdatabase/database.gif ,Aug-64
3/6/2017 17:36,JC-Contrato-N9382342ADVXH78NVUTBQ3PQ9B.rar,Sep-55
,c587293e5e5a33c01ebe92d18ffecae9e54e1dd3d89568e84a16cea4ecf61a3b ,
3/6/2017 17:30,https://login.microsoftonline.com/login.srf?wa=wsignin1.0&rpsnv=4&ct=1488821399&rver=6.7.6640.0&wp=MBI_SSL&wreply=https://outlook.office365.com/owa/rafaelnunes60@hotmail.com/service.svc/s/GetAttachmentDownloadToken?redirect=%2fowa%2frafaelnunes60%40hotmail.com%2fservice.svc%2fs%2fGetFileAttachment%3fid%3dAQMkADAwATE4MTUxLWI1NjEtYmNmZS0wMAItMDAKAEYAAANARDXqCmvxSKPZoAxwDEvWBwDQYQSFr2DJTojrY4VyOPVvAAAAQ3yRUQAAANBhBIWvYMlOiOtjhXI49W8AAABo9e9RAAAAARIAEAA4Z68ZSwtHRogLh9LTt11U&id=260563&CBCXT=out&msafed=0 ,0 / 64
3/6/2017 17:29,https://attachment.outlook.office.net/owa/rafaelnunes60@hotmail.com/service.svc/s/GetFileAttachment?id=AQMkADAwATE4MTUxLWI1NjEtYmNmZS0wMAItMDAKAEYAAANARDXqCmvxSKPZoAxwDEvWBwDQYQSFr2DJTojrY4VyOPVvAAAAQ3yRUQAAANBhBIWvYMlOiOtjhXI49W8AAABo9e9RAAAAARIAEAA4Z68ZSwtHRogLh9LTt11U ,0 / 64
3/6/2017 17:29,http://ctrlccopiadora.com.br/Autuacao/ ,Jun-64
3/6/2017 17:28,http://env-8693985.molddata.cloud/cli/index.php ,Apr-64
3/6/2017 17:11,http://q6bk5mfqn7.temp.swtest.ru/BSF29DGEJF5IA/1/?AFLn7DYGK7T2vMdr2VRwMl7lhImizG6amRxuvwagD4i9QvBSrspeNwA5fWnPDtZZlxtR3E7GJqQzWrsoURCHocND8asMEsL0ZfR2UZJDpzdl1FJVwmDVzqyHB0tgsfgrv8up7e3wNgSPVCKsYnnxOWfpWJFpZWRu4mUcAXIoeBdadYCbm0JaWZATIgjHcbchx6t84cwi ,0 / 64
3/6/2017 17:08,http://mystorageauction.com/wp-content/upgrade/bb/new@home.php?id=new@access.asp ,Jul-64
3/6/2017 17:06,http://54.193.114.171/Concluir/atendimento/chamada.php?=FHI4N4T7CDUS290L33EHM4BAG5AJMVB3CT71XZ80D33FAB1CEFU1J6BZALJXGUZTO7TM72WJ4ZYEBZRPFLPYQ1Y2MIY3DYW25QOARKUUKT0VT1K9LA7CB6EXNC11BX3GNQREBM0VFIQ9JBG6LNHXSVUF9VGKSI2F0SUKF5GVN747IKB49T11PVGYRWIJFJZOCU0SZPNMWQTEB5IKYILNE2L6Y5PEOP31KBSJ2G7X7ZBI5T33CNPRPBWOFM34C65XHXHIDNFKMR4QK6TXTJOJUL809ADKFIIWGZFTMVE0MH17NT4HCS18D9HLIU7YDOVTNANA62JRJJY7D3OQVOX9XETF0ZDNN9GBJ4LP66HOOGV3IJSD9QM66FLFFY348JFRM1GS6XHUDCXWWPA6GWALCV1SU3W3LBT9C02H8ICKVAHRZSWGO82232UX5QZQ2SZD31V0I9UDIB6I42YS91UB3P07F9XH2WU4WQDFZ8S ,Feb-64
3/6/2017 17:06,http://personnalite.ch/ita/ ,Jul-64
3/6/2017 17:05,"http://informativoclientechaveobrigatorio.com/thmpv.php?17,11,05,10,3,11,11,6,000000,31,Mon,%2006%20Mar%202017%2011:05:10%20-0600, ",Apr-64
3/6/2017 16:55,http://52.221.251.190/ ,Jan-64
3/6/2017 16:54,Oficio.zip,Jun-58
,8a8f44079e7af730277c3024aad0a3c0b8f0422363005f4684b370ebba11f634 ,
3/6/2017 14:42,http://52.14.103.88/ ,Mar-64
3/6/2017 14:24,FormularioReceita65453627345.zip,Jun-58
,b4c8cb5822c5c8ad4b5ec2f4c4da600a73c0cd90ecf2340be27ba182b3adf86c ,
3/6/2017 14:23,ExtratoFGTS907617821M.zip,Dec-57
,f0560c1d95cad9889c2ce1dfbbe9cf16a3356d1fd63b7fe7a3cae7822f051602 ,
